cx,cy,n,v
520.00,289.00,1.00,2253.47
519.00,291.00,2.00,2080.41
520.00,296.00,3.00,1250.00
520.00,297.00,4.00,1250.00
520.00,293.00,5.00,1875.00
520.00,290.00,6.00,2704.16
519.00,287.00,7.00,3154.86
518.00,286.00,8.00,3302.46
518.00,292.00,9.00,1976.42
518.00,292.00,10.00,2325.13
519.00,292.00,11.00,2601.08
519.00,291.00,12.00,2601.08
519.00,291.00,13.00,2809.03
519.00,294.00,14.00,2358.50
520.00,297.00,15.00,1600.78
520.00,295.00,16.00,2050.15
520.00,293.00,17.00,2325.13
520.00,292.00,18.00,2150.58
520.00,293.00,19.00,1976.42
521.00,295.00,20.00,1600.78
521.00,294.00,21.00,1952.56
521.00,292.00,22.00,2225.56
521.00,291.00,23.00,2150.58
522.00,292.00,24.00,2253.47
523.00,306.00,25.00,176.78
526.00,299.00,25.00,4001.95
515.00,306.00,26.00,707.11
529.00,297.00,26.00,3650.77
520.00,298.00,27.00,3201.56
522.00,298.00,28.00,3889.09
523.00,305.00,29.00,4868.59
523.00,314.00,30.00,976.28
506.00,296.00,30.00,1328.77
525.00,298.00,30.00,4626.69
525.00,300.00,31.00,4716.99
524.00,286.00,31.00,1060.66
502.00,304.00,32.00,901.39
524.00,302.00,32.00,5310.66
526.00,309.00,34.00,279.51
530.00,292.00,34.00,6626.18
525.00,295.00,35.00,5525.51
527.00,298.00,36.00,5427.07
540.00,283.00,36.00,395.28
496.00,259.00,37.00,625.00
495.00,239.00,37.00,800.39
529.00,314.00,38.00,800.39
541.00,303.00,38.00,279.51
542.00,300.00,38.00,176.78
498.00,294.00,38.00,728.87
505.00,291.00,38.00,1075.29
508.00,278.00,38.00,883.88
521.00,325.00,39.00,707.11
580.00,316.00,39.00,800.39
545.00,320.00,39.00,3051.64
550.00,291.00,39.00,4868.59
566.00,256.00,39.00,800.39
530.00,310.00,39.00,530.33
523.00,332.00,40.00,883.88
583.00,315.00,40.00,1152.44
499.00,306.00,40.00,707.11
450.00,291.00,40.00,2019.44
473.00,283.00,40.00,625.00
481.00,281.00,40.00,2657.54
532.00,258.00,40.00,1845.60
569.00,251.00,40.00,4375.00
543.00,302.00,40.00,530.33
498.00,298.00,40.00,530.33
497.00,297.00,40.00,530.33
502.00,273.00,40.00,530.33
578.00,228.00,40.00,2850.44
493.00,227.00,40.00,5255.95
580.00,198.00,40.00,9673.58
570.00,207.00,40.00,530.33
571.00,206.00,40.00,625.00
572.00,204.00,40.00,530.33
544.00,398.00,41.00,4667.04
529.00,339.00,41.00,707.11
526.00,326.00,41.00,1858.26
587.00,314.00,41.00,1152.44
495.00,290.00,41.00,976.28
481.00,289.00,41.00,800.39
564.00,278.00,41.00,901.39
566.00,273.00,41.00,279.51
498.00,267.00,41.00,625.00
526.00,262.00,41.00,800.39
534.00,260.00,41.00,1060.66
543.00,256.00,41.00,1075.29
572.00,256.00,41.00,1231.11
522.00,257.00,41.00,2325.13
521.00,256.00,41.00,530.33
532.00,252.00,41.00,1060.66
502.00,246.00,41.00,2850.44
548.00,316.00,41.00,530.33
534.00,313.00,41.00,707.11
552.00,291.00,41.00,530.33
550.00,287.00,41.00,530.33
546.00,299.00,41.00,4930.77
546.00,282.00,41.00,530.33
541.00,232.00,41.00,3466.36
525.00,340.00,42.00,1677.05
526.00,327.00,42.00,530.33
591.00,314.00,42.00,1152.44
552.00,328.00,42.00,5147.82
494.00,304.00,42.00,707.11
555.00,300.00,42.00,2348.54
559.00,289.00,42.00,279.51
563.00,287.00,42.00,353.55
568.00,278.00,42.00,395.28
534.00,317.00,42.00,530.33
537.00,314.00,42.00,1152.44
540.00,311.00,42.00,625.00
545.00,285.00,42.00,800.39
